PCA_0,PCA_1,PCA_2,PCA_3,PCA_4
35.44,38.07,5.79,-14.44,-11.67
15.55,22.99,1.31,11.28,-10.09
97.68,-22.66,24.35,15.09,-3.98
56.51,33.39,5.56,-22.22,-7.89
71.28,-31.55,-6.58,-13.50,7.69
6.19,5.92,-3.56,15.88,-15.86
34.21,24.94,12.27,9.06,-24.22
56.29,12.56,3.65,-2.51,11.49
5.31,2.85,-11.69,11.15,1.76
14.54,4.11,-17.54,13.34,16.28
15.51,9.47,-20.33,17.46,-1.13
26.46,22.67,-19.83,2.43,-0.59
3.55,-10.09,-1.58,-16.98,19.86
5.73,0.24,-10.19,-9.52,-13.10
5.62,2.54,2.63,-8.28,-0.75
-10.31,-13.79,-15.79,9.82,1.54
23.99,21.18,-21.61,13.08,5.48
46.03,6.81,11.10,16.09,-14.28
5.93,-17.42,-10.04,22.42,-9.20
21.24,-7.74,-27.79,-5.43,17.74
19.44,13.45,-15.42,-12.24,-17.29
50.19,20.38,7.07,-9.11,-7.05
18.64,7.42,-28.98,-11.71,8.65
70.50,30.92,-38.82,0.82,-13.59
82.98,32.94,-7.79,6.84,3.54
-6.54,-9.57,-2.02,-3.53,-0.43
56.50,8.40,7.84,-10.61,-4.63
9.83,0.02,-7.28,15.85,10.33
-2.41,36.27,-38.69,-11.38,-6.10
59.01,44.58,-7.41,7.92,-8.08
-12.52,-8.66,-23.35,14.86,-1.55
0.47,11.86,-6.65,-18.80,-5.39
6.55,41.35,-4.40,-16.40,-1.15
-7.76,4.40,-23.52,4.67,0.53
-5.01,10.19,-31.95,-3.87,-0.48
-7.46,-1.19,-15.15,-9.51,-10.81
20.68,-5.78,-17.45,20.41,3.19
15.37,16.82,-13.78,-2.79,12.66
29.70,22.27,-27.41,-13.11,-2.07
35.03,6.21,0.41,-6.10,5.50
30.33,-9.31,19.82,-21.82,-8.01
-14.06,-46.55,15.12,-0.15,16.25
12.30,18.54,-16.46,-3.04,-11.81
43.12,19.35,6.52,-7.88,9.38
49.10,-1.06,20.68,-12.70,6.50
33.04,30.31,21.58,4.80,9.21
48.65,29.79,7.94,0.72,7.96
39.30,28.85,-16.48,-5.94,-0.56
7.00,8.27,-7.75,14.95,11.58
51.63,13.60,21.84,8.05,-17.32
49.28,11.01,2.80,-19.01,6.32
5.62,-9.49,-20.39,11.26,-20.24
40.89,13.27,-7.19,2.44,-26.55
94.56,-42.15,19.37,-19.80,-5.42
18.88,20.79,5.94,8.74,22.82
10.39,19.78,1.63,-6.55,16.20
27.90,26.76,0.88,-7.25,-5.58
32.70,5.70,-22.72,-2.95,-7.15
97.91,-17.41,51.08,-11.18,-19.07
17.38,17.13,-0.59,19.10,15.50
15.51,15.57,0.18,2.04,9.42
15.15,0.43,18.35,11.96,15.46
68.60,-13.02,43.62,2.50,4.26
82.94,-12.37,35.53,10.44,-13.09
11.96,24.53,-21.52,-17.09,4.42
-4.27,-1.22,-20.55,-12.39,2.71
82.78,-7.55,19.79,15.55,6.48
62.29,7.56,-15.76,-5.23,-2.70
55.18,-1.77,15.60,9.55,-6.76
70.48,19.62,14.89,15.69,8.60
-8.53,-11.82,-20.40,11.62,-13.52
-33.16,-22.71,4.05,-16.29,-7.88
-24.06,4.03,11.72,-6.72,-13.27
-28.20,-7.51,9.35,7.50,10.65
-31.75,-3.99,10.74,-18.73,-11.54
-36.24,-5.38,7.69,-0.25,11.46
-45.37,-26.51,22.84,12.94,5.24
-34.32,-3.57,-9.68,6.65,8.33
-29.20,-11.65,7.62,-16.05,17.18
-32.29,-8.02,1.03,-12.19,11.10
-18.58,15.39,-5.66,-15.21,-13.42
-37.89,-11.78,-1.15,5.86,-17.00
-25.03,9.05,2.18,-18.64,6.08
6.03,1.53,5.47,4.39,-14.45
-10.81,36.86,1.73,-10.23,-12.31
7.48,61.40,2.59,-3.60,2.69
-18.63,13.15,7.01,17.50,22.12
-12.78,10.90,24.44,-1.95,14.24
-17.98,11.48,1.52,-4.97,13.53
-38.24,-20.53,-1.05,22.01,10.42
-39.61,-13.51,7.56,-11.61,14.48
-21.13,20.64,14.66,-6.73,-2.79
-25.19,-0.67,-1.46,15.42,4.25
-34.52,-10.60,6.54,-3.60,7.39
-41.64,-18.97,12.47,6.20,0.37
-26.04,-22.24,9.70,-6.20,12.00
-34.02,15.82,-3.64,6.78,0.51
-16.81,19.55,10.46,0.56,-0.09
-16.26,10.80,11.98,-5.20,23.44
-7.62,14.35,7.01,-1.81,-3.77
-29.79,-1.03,16.14,-0.95,16.70
-41.67,-5.39,-2.66,11.30,2.22
-20.60,-13.00,0.33,-2.54,-4.04
-42.06,-19.67,-5.67,-17.60,21.81
-41.94,-11.56,8.13,9.67,-2.29
-15.41,9.88,9.90,18.25,-17.76
-28.97,2.66,10.22,8.94,15.18
-25.56,-9.80,5.21,18.17,-10.37
-34.28,-11.62,-6.69,-13.74,-4.05
-32.63,-6.26,-2.77,13.87,12.12
-30.95,-7.63,1.37,-14.79,-15.32
-41.65,-17.03,5.17,2.28,11.50
-32.14,-8.20,13.84,-17.56,-4.33
-30.80,7.82,0.03,-13.33,0.19
-6.42,15.72,11.01,3.47,7.25
-12.53,29.08,2.01,2.98,-7.65
5.57,8.68,1.09,-13.53,5.15
-19.29,1.67,1.58,-5.98,-5.33
-36.81,3.33,-1.39,-21.78,0.55
-36.83,-13.39,2.50,-16.39,-3.02
-22.17,14.95,-4.18,-11.02,14.19
-28.43,2.86,-2.06,-3.97,16.14
-12.48,30.44,-13.61,-3.20,14.97
-40.00,-20.49,1.42,-1.54,-2.44
-45.00,-22.46,2.46,11.79,-10.45
-30.12,12.36,-4.76,22.31,17.40
-28.15,-10.72,7.21,-12.73,0.84
-32.78,-3.59,6.38,14.85,-13.31
-26.13,2.80,-1.13,-18.49,-1.60
-22.91,3.78,-8.63,-16.68,-1.72
-37.51,-27.33,-5.06,-14.50,5.92
-27.27,8.73,13.42,18.30,14.22
-28.67,-12.36,-1.05,-17.98,2.12
-35.77,-11.69,-1.95,5.32,-10.95
-38.21,-9.86,6.19,8.41,2.95
-36.95,-14.80,-8.24,-18.63,3.87
-15.60,9.52,15.24,0.55,9.44
-32.01,-9.89,-0.05,-22.41,-0.77
-24.04,11.34,8.24,18.32,11.00
-43.40,-8.07,-9.01,4.78,3.64
-20.93,-9.34,17.73,-11.61,16.24
-30.55,-6.75,-1.85,6.41,-9.00
-17.78,10.26,-4.67,10.53,7.44
-26.96,2.46,-10.96,-13.29,14.32
-28.17,0.52,12.92,3.74,-9.54
-23.59,4.77,-3.98,-20.33,-4.53
-17.31,11.97,-4.97,-2.12,14.38
-20.62,9.36,5.22,12.78,-0.33
-37.82,-28.28,-18.91,-8.90,17.15
-12.12,32.15,-11.01,-17.65,-5.85
-40.49,-13.01,3.38,-12.23,7.98
-44.76,-26.13,-3.91,-10.54,-5.11
-26.20,-5.46,-4.26,12.00,0.57
-42.68,-19.48,-3.19,4.89,20.50
-10.05,-7.83,17.31,12.28,7.49
-38.83,-5.55,0.78,-6.67,16.35
-28.15,-2.81,12.52,15.52,3.13
-43.17,-15.26,13.05,4.87,0.06
-33.65,-11.15,-2.60,3.14,0.35
-25.01,2.54,-0.52,-0.23,17.40
-4.49,31.62,-0.84,-1.66,5.17
-31.85,-0.97,-5.27,13.53,-7.78
2.24,42.96,4.12,8.45,6.77
-34.36,-5.25,-1.35,7.57,-10.87
-44.36,-17.23,-3.46,-15.18,9.45
-41.47,-9.20,21.67,-23.82,-3.12
-37.19,-3.04,-1.98,-1.32,-13.66
-33.67,-3.86,-4.39,22.64,9.34
-26.70,8.10,13.50,14.11,-7.92
-32.76,-3.00,1.75,21.35,7.14
-40.70,-16.00,2.99,17.95,14.29
